text,intent,slots
把未来交给权威。,R,oooooooo
向等级秩序迈进。,R,oooooooo
朝着国家机器旋转。,R,ooooooooo
向右边的出口驶去。,R,ooooooooo
在十字路口右转。,R,oooooooo
向右方的通道移动。,R,ooooooooo
转到右侧队列。,R,ooooooo
朝右方列队。,R,oooooo
右边有空位，转过去。,R,oooooooooo
向右侧集结。,R,oooooo
右侧转身。,R,ooooo
右转一步。,R,ooooo
右转到位。,R,ooooo
向铁腕路线靠近。,R,oooooooo
把航标对准权威。,R,oooooooo
朝民族国家前行。,R,oooooooo
转向强人政治。,R,ooooooo
把目标调整为秩序优先。,R,ooooooooooo
向资本阵营移动。,R,oooooooo
朝着传统社会旋转。,R,ooooooooo
把姿态调往强权。,R,oooooooo
向纪律世界靠近。,R,oooooooo
朝威权之路迈步。,R,oooooooo
右转准备。,R,ooooo
向右边看齐。,R,oooooo
向右转体。,R,ooooo
右边方向行进。,R,ooooooo
向右转动方向盘。,R,oooooooo
向右旋转身体。,R,ooooooo
右转两步。,R,ooooo
右转列队。,R,ooooo
向右靠拢。,R,ooooo
向右侧集合。,R,oooooo
走向保守阵线。,R,ooooooo
面向权威之门。,R,ooooooo
把舵指向强国路线。,R,ooooooooo
向纪律的一侧倾斜。,R,ooooooooo
将方向转为铁血。,R,oooooooo
朝传统主义行走。,R,oooooooo
向国家至上靠近。,R,oooooooo
把姿态调往强人阵营。,R,oooooooooo
朝集权主义旋转。,R,oooooooo
向市场原教旨主义移动。,R,ooooooooooo
右方转体。,R,ooooo
向右移动一步。,R,ooooooo
右转前进。,R,ooooo
向右拐弯行驶。,R,ooooooo
右转继续。,R,ooooo
向右方向推进。,R,ooooooo
右边转。,R,oooo
向右方走。,R,ooooo
右转一下。,R,ooooo
右边转身。,R,ooooo
现在该强调秩序了。,R,ooooooooo
收回权力。,R,ooooo
让纪律压倒自由。,R,oooooooo
向民族优先靠近。,R,oooooooo
把步伐给强权。,R,ooooooo
向单一意志移动。,R,oooooooo
朝国家机器靠拢。,R,oooooooo
让铁腕统治登场。,R,oooooooo
向极端民族主义迈步。,R,oooooooooo
朝法西斯式组织转去。,R,oooooooooo
向右旋一下。,R,oooooo
右转就位。,R,ooooo
右边对齐。,R,ooooo
向右方向对正。,R,ooooooo
右转前行。,R,ooooo
向右侧站位。,R,oooooo
右转完成。,R,ooooo
右转执行。,R,ooooo
向右转动九十度。,R,oooooooo
右转站稳。,R,ooooo
把旗帜插在秩序高地。,R,oooooooooo
向强权山峰攀登。,R,oooooooo
把脚步迈向铁血边界。,R,oooooooooo
向军国浪潮靠岸。,R,oooooooo
让思想驶向保守大陆。,R,oooooooooo
向等级灯塔靠近。,R,oooooooo
把方向交给权威。,R,oooooooo
朝强国之火旋转。,R,oooooooo
向纪律堡垒进发。,R,oooooooo
把航向给民族主义。,R,ooooooooo
向右列队。,R,ooooo
右向转动。,R,ooooo
右边方向集合。,R,ooooooo
向右边定位。,R,oooooo
右侧对齐。,R,ooooo
右转三步走。,R,oooooo
右转进入队列。,R,ooooooo
向右转入主路。,R,ooooooo
右转继续行军。,R,ooooooo
向右转弯前进。,R,ooooooo
向民族国家航行。,R,oooooooo
把方向拨往铁腕彼岸。,R,oooooooooo
向权威浪潮前进。,R,oooooooo
朝思想收紧转去。,R,oooooooo
把目标定在纪律大道。,R,oooooooooo
向国家利益移动。,R,oooooooo
朝秩序理想靠近。,R,oooooooo
把脚步放在等级土地上。,R,ooooooooooo
向资本火种前进。,R,oooooooo
朝着铁血彼岸航行。,R,ooooooooo
右转面对目标。,R,ooooooo
向右边靠齐。,R,oooooo
右转完成队形。,R,ooooooo
向右侧前进。,R,oooooo
右转前往目的地。,R,oooooooo
右转待命。,R,ooooo
右转集结。,R,ooooo
向右移动队形。,R,ooooooo
右转面对旗帜。,R,ooooooo
向右方向站立。,R,ooooooo
现在需要更强硬。,R,oooooooo
把自由收一收。,R,ooooooo
让国家意志主导。,R,oooooooo
向保守价值退一步。,R,ooooooooo
强调传统家庭结构。,R,ooooooooo
向铁腕治理靠拢。,R,oooooooo
把未来交给秩序。,R,oooooooo
朝极端民族路线迈进。,R,oooooooooo
让权威重新发声。,R,oooooooo
向单一领袖靠近。,R,oooooooo
右转准备前进。,R,ooooooo
向右拐入支路。,R,ooooooo
右转重新排列。,R,ooooooo
向右前行一步。,R,ooooooo
右转执行完毕。,R,ooooooo
右转一步到位。,R,ooooooo
右转完成动作。,R,ooooooo
向右方向前进。,R,ooooooo
右转保持队形。,R,ooooooo
向右调整姿态。,R,ooooooo
向国家机器致敬。,R,oooooooo
把思想交给权威。,R,oooooooo
向铁腕港湾行驶。,R,oooooooo
朝等级旗帜靠拢。,R,oooooooo
把步伐给民族主义。,R,ooooooooo
向纪律高地移动。,R,oooooooo
朝着强权火炬前行。,R,ooooooooo
把航标定在秩序。,R,oooooooo
向思想集中区前进。,R,ooooooooo
朝着威权力量靠近。,R,ooooooooo
右转对齐目标。,R,ooooooo
向右站好。,R,ooooo
右转前进两步。,R,ooooooo
向右移动到位。,R,ooooooo
右转准备完成。,R,ooooooo
右转进入战位。,R,ooooooo
右转站好。,R,ooooo
向右边集合完毕。,R,oooooooo
右转进入状态。,R,ooooooo
向右转向目标。,R,ooooooo
朝着铁血纪元启航。,R,ooooooooo
向秩序彼岸驶去。,R,oooooooo
把旗帜插在强权阵地。,R,oooooooooo
向民族至上行军。,R,oooooooo
朝保守国度前进。,R,oooooooo
把方向给等级社会。,R,ooooooooo
向权威灯塔转身。,R,oooooooo
朝纪律航线移动。,R,oooooooo
把脚步给国家意志。,R,ooooooooo
向资本力量靠近。,R,oooooooo
右转保持姿势。,R,ooooooo
向右移动准备。,R,ooooooo
右转进入通道。,R,ooooooo
向右方前行。,R,oooooo
右转，出发。,R,oooooo
右转继续。,R,ooooo
向右方向站定。,R,ooooooo
右转完成指令。,R,ooooooo
向右靠稳。,R,ooooo
右转，全速前进。,R,oooooooo
向极右转。,R,ooooo
全体朝铁血方向旋转。,R,oooooooooo
把舵打到权威尽头。,R,ooooooooo
立刻倒向绝对秩序。,R,ooooooooo
朝民族至上的彼岸前进。,R,ooooooooooo
把方向交给强人。,R,oooooooo
向黑色旗帜深处推进。,R,oooooooooo
让思想滑向彻底保守。,R,oooooooooo
把立场推到自由的对立面。,R,oooooooooooo
朝权力高度集中冲刺。,R,oooooooooo
让铁腕主导航线。,R,oooooooo
向等级制度核心靠拢。,R,oooooooooo
把温和主义抛弃，全面强硬。,R,ooooooooooooo
朝极端民族主义火焰旋转。,R,oooooooooooo
让多元主义在身后坍塌。,R,ooooooooooo
向国家至上主义推进。,R,oooooooooo
把舵盘锁死在威权乌托邦。,R,oooooooooooo
朝绝对服从迈步。,R,oooooooo
把路线调到强权红线。,R,oooooooooo
向单一意志的理想滑行。,R,ooooooooooo
向法西斯式组织倾斜。,R,oooooooooo
把议会制送进废纸堆。,R,oooooooooo
朝着领袖意志行进。,R,ooooooooo
让反对声音在身后消散。,R,ooooooooooo
向群众动员式国家转向。,R,ooooooooooo
把个人主义踢出航道。,R,oooooooooo
朝军国主义全速前进。,R,oooooooooo
让民族纯粹成为主题。,R,oooooooooo
向彻底排外主义集结。,R,oooooooooo
把方向盘焊死在铁血一侧。,R,oooooooooooo
朝着极端秩序社会冲锋。,R,ooooooooooo
把权力集中到最高层。,R,oooooooooo
向强国意志靠近。,R,oooooooo
让黑色制服覆盖地平线。,R,ooooooooooo
朝社会高度统一推进。,R,oooooooooo
把分权连根拔起。,R,oooooooo
向绝对等级旋转。,R,oooooooo
让宽容在背后瓦解。,R,ooooooooo
向持续强硬路线靠拢。,R,oooooooooo
把航线设定为权威清算。,R,ooooooooooo
朝铁血黎明全速推进。,R,oooooooooo
把自由主义彻底作废。,R,oooooooooo
向最高领袖报到。,R,oooooooo
让国家机器无限扩张。,R,oooooooooo
朝彻底去多元化前进。,R,oooooooooo
把社会塑造成单一声音。,R,ooooooooooo
向高度服从社会倾斜。,R,oooooooooo
让反抗失去立足之地。,R,oooooooooo
朝极端国家主义延伸。,R,oooooooooo
把方向交给最严苛的秩序理想。,R,oooooooooooooo
