text,intent,slots
将队伍带向新纪元。,L,ooooooooo
把路线调往进步主义。,L,oooooooooo
朝着红色的理想前行。,L,oooooooooo
转向自由的港湾。,L,oooooooo
向左侧走。,L,ooooo
左转进入下一条路。,L,ooooooooo
把车开向左侧。,L,ooooooo
向左边的出口驶去。,L,ooooooooo
在十字路口左转。,L,oooooooo
向左方的通道移动。,L,ooooooooo
转到左侧队列。,L,ooooooo
朝左方列队。,L,oooooo
左边有空位，转过去。,L,oooooooooo
向左侧集结。,L,oooooo
朝公平正义的阵线靠拢。,L,ooooooooooo
把航线对准变革者。,L,ooooooooo
向思想解放转向。,L,oooooooo
站到进步阵营。,L,ooooooo
向着人民的方向移动。,L,oooooooooo
朝民主之路前行。,L,oooooooo
转向开放与包容。,L,oooooooo
把未来交给革新。,L,oooooooo
向理性与自由迈步。,L,ooooooooo
朝着新思想旋转。,L,oooooooo
左侧转身。,L,ooooo
左转一步。,L,ooooo
左转到位。,L,ooooo
左转准备。,L,ooooo
向左边看齐。,L,oooooo
向左转体。,L,ooooo
左边方向行进。,L,ooooooo
左向调整。,L,ooooo
向左转动方向盘。,L,oooooooo
向左旋转身体。,L,ooooooo
朝着西方移动。,L,ooooooo
面朝日落方向。,L,ooooooo
把舵指向进步。,L,ooooooo
向公平的一侧倾斜。,L,ooooooooo
将方向转为改革。,L,oooooooo
朝思想解放行走。,L,oooooooo
向着自由港前进。,L,oooooooo
把姿态调往新阵营。,L,ooooooooo
朝着社会革新旋转。,L,ooooooooo
向平等世界靠近。,L,oooooooo
左转两步。,L,ooooo
左转列队。,L,ooooo
向左靠拢。,L,ooooo
向左侧集合。,L,oooooo
左方转体。,L,ooooo
向左移动一步。,L,ooooooo
左转前进。,L,ooooo
向左拐弯行驶。,L,ooooooo
左转继续。,L,ooooo
向左方向推进。,L,ooooooo
朝人民阵线移动。,L,oooooooo
把思想拨向进步派。,L,ooooooooo
向变革力量靠近。,L,oooooooo
向公平天平的一端移动。,L,ooooooooooo
朝理想社会前行。,L,oooooooo
将队伍引向改革。,L,oooooooo
向创新阵营靠拢。,L,oooooooo
朝着开放社会行进。,L,ooooooooo
转向新思维。,L,oooooo
把航向调至解放区。,L,ooooooooo
左边转。,L,oooo
向左方走。,L,ooooo
左转一下。,L,ooooo
左边转身。,L,ooooo
向左旋一下。,L,oooooo
左转就位。,L,ooooo
左边对齐。,L,ooooo
向左方向对正。,L,ooooooo
左转前行。,L,ooooo
向左侧站位。,L,oooooo
朝日落之门走去。,L,oooooooo
把旗帜插在进步高地。,L,oooooooooo
向公平的山峰攀登。,L,ooooooooo
把脚步迈向理想边界。,L,oooooooooo
向变革浪潮靠岸。,L,oooooooo
朝自由旷野前行。,L,oooooooo
让思想驶向新大陆。,L,ooooooooo
向平等灯塔靠近。,L,oooooooo
把方向交给未来。,L,oooooooo
朝革新之火旋转。,L,oooooooo
左转完成。,L,ooooo
左转执行。,L,ooooo
向左转动九十度。,L,oooooooo
左转站稳。,L,ooooo
向左列队。,L,ooooo
左转调整。,L,ooooo
左向转动。,L,ooooo
左边方向集合。,L,ooooooo
向左边定位。,L,oooooo
左侧对齐。,L,ooooo
朝着红色旗帜的方向行走。,L,oooooooooooo
把方向拨往公平彼岸。,L,oooooooooo
向改革浪潮前进。,L,oooooooo
朝思想革新转去。,L,oooooooo
把目标定在民主大道。,L,oooooooooo
向人民立场移动。,L,oooooooo
朝自由理想靠近。,L,oooooooo
把脚步放在平等土地上。,L,ooooooooooo
向创新火种前进。,L,oooooooo
朝着理想彼岸航行。,L,ooooooooo
左转三步走。,L,oooooo
左转进入队列。,L,ooooooo
向左转入主路。,L,ooooooo
左转继续行军。,L,ooooooo
向左转弯前进。,L,ooooooo
左转面对目标。,L,ooooooo
向左边靠齐。,L,oooooo
左转完成队形。,L,ooooooo
向左侧前进。,L,oooooo
左转前往目的地。,L,oooooooo
朝着自由民主的方向。,L,oooooooooo
向公平社会迈进。,L,oooooooo
把航线调往改革大道。,L,oooooooooo
向着人民阵营移动。,L,ooooooooo
朝进步主义行进。,L,oooooooo
把方向给理想主义。,L,ooooooooo
向社会平等转去。,L,oooooooo
朝着开放未来前进。,L,ooooooooo
把姿态转为革新派。,L,ooooooooo
向红色理想靠近。,L,oooooooo
左转待命。,L,ooooo
左转集结。,L,ooooo
向左移动队形。,L,ooooooo
左转面对旗帜。,L,ooooooo
向左方向站立。,L,ooooooo
左转准备前进。,L,ooooooo
向左拐入支路。,L,ooooooo
左转重新排列。,L,ooooooo
向左前行一步。,L,ooooooo
左转执行完毕。,L,ooooooo
朝日落的彼端前进。,L,ooooooooo
把思想交给变革。,L,oooooooo
向自由港湾行驶。,L,oooooooo
朝平等旗帜靠拢。,L,oooooooo
把步伐给人民。,L,ooooooo
向创新高地移动。,L,oooooooo
朝着理想火炬前行。,L,ooooooooo
把航标定在公平。,L,oooooooo
向思想解放区前进。,L,ooooooooo
朝着进步力量靠近。,L,ooooooooo
左转一步到位。,L,ooooooo
左转完成动作。,L,ooooooo
向左方向前进。,L,ooooooo
左转保持队形。,L,ooooooo
向左调整姿态。,L,ooooooo
左转对齐目标。,L,ooooooo
向左站好。,L,ooooo
左转前进两步。,L,ooooooo
向左移动到位。,L,ooooooo
左转准备完成。,L,ooooooo
朝着新纪元启航。,L,oooooooo
向平等彼岸驶去。,L,oooooooo
把旗帜插在革新阵地。,L,oooooooooo
向自由的方向行军。,L,ooooooooo
朝理想国前进。,L,ooooooo
把方向给未来社会。,L,ooooooooo
向着进步灯塔转身。,L,ooooooooo
朝民主航线移动。,L,oooooooo
把脚步给公平大地。,L,ooooooooo
向人民力量靠近。,L,oooooooo
左转进入战位。,L,ooooooo
左转站好。,L,ooooo
向左边集合完毕。,L,oooooooo
左转进入状态。,L,ooooooo
向左转向目标。,L,ooooooo
左转保持姿势。,L,ooooooo
向左移动准备。,L,ooooooo
左转进入通道。,L,ooooooo
向左方前行。,L,oooooo
左转，出发。,L,oooooo
向极左转。,L,ooooo
全体向最激进的方向旋转。,L,oooooooooooo
把舵轮打到革命尽头。,L,oooooooooo
立刻倒向彻底的平等。,L,oooooooooo
朝无产阶级专政的彼岸前进。,L,ooooooooooooo
把方向交给街垒。,L,oooooooo
向红色最深处坠落。,L,ooooooooo
让思想滑向彻底公有。,L,oooooooooo
把立场推到资本的对立面。,L,oooooooooooo
朝消灭私有制的方向冲刺。,L,oooooooooooo
让铁锤与镰刀主导航线。,L,ooooooooooo
向阶级斗争中心靠拢。,L,oooooooooo
把温和主义抛下，全面激进。,L,ooooooooooooo
朝世界革命的火焰旋转。,L,ooooooooooo
让体制在身后崩塌。,L,ooooooooo
向生产资料全民占有推进。,L,oooooooooooo
把舵盘锁死在共产乌托邦。,L,oooooooooooo
朝彻底平均主义迈步。,L,oooooooooo
把路线调到红色警戒。,L,oooooooooo
向国家消亡的理想滑行。,L,ooooooooooo
向无政府共产主义倾斜。,L,ooooooooooo
把资本主义送进历史博物馆。,L,ooooooooooooo
朝着工人委员会行进。,L,oooooooooo
让议会在身后燃烧。,L,ooooooooo
向群众专政转向。,L,oooooooo
把市场经济踢出航道。,L,oooooooooo
朝计划经济全速前进。,L,oooooooooo
让阶级斗争重新成为主题。,L,oooooooooooo
向彻底反资本主义集结。,L,ooooooooooo
把方向盘焊死在革命一侧。,L,oooooooooooo
朝巴黎公社式的理想冲锋。,L,oooooooooooo
把权力交还给街头。,L,ooooooooo
向全球无产者联合靠近。,L,ooooooooooo
让红旗覆盖地平线。,L,ooooooooo
朝社会全面公有化推进。,L,ooooooooooo
把资本连根拔起。,L,oooooooo
向彻底均贫富旋转。,L,ooooooooo
让旧秩序在背后瓦解。,L,oooooooooo
向持续革命理论靠拢。,L,oooooooooo
把航线设定为阶级清算。,L,ooooooooooo
朝着红色黎明全速推进。,L,ooooooooooo
把私有产权彻底作废。,L,oooooooooo
向革命委员会报到。,L,ooooooooo
让国家机器接受改造。,L,oooooooooo
朝彻底去等级化前进。,L,oooooooooo
把社会结构推倒重建。,L,oooooooooo
向工人自治社会倾斜。,L,oooooooooo
让资本失去立足之地。,L,oooooooooo
朝历史唯物主义的极端延伸。,L,ooooooooooooo
把方向给最激进的平等理想。,L,ooooooooooooo
